Henry,2012-2013,6225970,115.53,69.87,Operation
Highland,2012-2013,322827,141.10,85.33,Operation
Isle of Wight,2012-2013,4645967,128.41,77.66,Operation
James City,2012-2013,9591447,137.92,83.41,Operation
King and Queen,2012-2013,915458,123.26,74.54,Operation
King George,2012-2013,3680237,153.70,92.95,Operation
King William,2012-2013,1956347,122.16,73.88,Operation
Lancaster,2012-2013,1502324,132.26,79.98,Operation
Lee,2012-2013,3592178,139.75,84.51,Operation
Loudoun,2012-2013,83862732,251.65,152.19,Operation
Louisa,2012-2013,3956677,117.38,70.99,Operation
Lunenburg,2012-2013,1277193,98.86,59.79,Operation
Madison,2012-2013,2018683,149.84,90.62,Operation
Mathews,2012-2013,1256566,141.46,85.55,Operation
Mecklenburg,2012-2013,2754847,85.63,51.78,Operation
Middlesex,2012-2013,1204264,109.39,66.15,Operation
Montgomery,2012-2013,13412951,140.26,84.83,Operation
Nelson,2012-2013,2704743,179.38,108.48,Operation
New Kent,2012-2013,2315776,120.26,72.73,Operation
Northampton,2012-2013,1962051,157.71,95.38,Operation
Northumberland,2012-2013,1744985,139.98,84.65,Operation
Nottoway,2012-2013,2752656,173.61,104.99,Operation
Orange,2012-2013,5414346,159.25,96.31,Operation
Page,2012-2013,3305718,136.52,82.56,Operation
Patrick,2012-2013,2173198,116.27,70.31,Operation
Pittsylvania,2012-2013,7345546,116.37,70.37,Operation
Powhatan,2012-2013,3486530,122.79,74.26,Operation
Prince Edward,2012-2013,2005618,85.78,51.88,Operation
Prince George,2012-2013,5633343,156.85,94.86,Operation
Prince William,2012-2013,77214000,183.33,110.87,Operation
Pulaski,2012-2013,4940717,142.80,86.36,Operation
Rappahannock,2012-2013,949018,127.27,76.96,Operation
Richmond,2012-2013,1266316,135.91,82.20,Operation
Roanoke,2012-2013,14609691,156.66,94.74,Operation
Rockbridge,2012-2013,3441265,155.78,94.21,Operation
Rockingham,2012-2013,12244256,157.89,95.48,Operation
Russell,2012-2013,4415994,152.86,92.44,Operation
Scott,2012-2013,3936256,167.89,101.53,Operation
Shenandoah,2012-2013,5024312,117.36,70.97,Operation
Smyth,2012-2013,4128984,128.58,77.76,Operation
Southampton,2012-2013,3293863,176.35,106.65,Operation
Spotsylvania,2012-2013,21288667,170.96,103.39,Operation
Stafford,2012-2013,21315872,160.61,97.13,Operation
Surry,2012-2013,2026106,292.49,176.89,Operation
Sussex,2012-2013,1756386,144.69,87.50,Operation
Tazewell,2012-2013,5186675,116.05,70.18,Operation
Warren,2012-2013,6020585,158.12,95.62,Operation
Washington,2012-2013,7504852,135.27,81.81,Operation
Westmoreland,2012-2013,2566610,144.98,87.68,Operation
Wise,2012-2013,5451700,133.63,80.82,Operation
Wythe,2012-2013,4004787,135.46,81.92,Operation
York,2012-2013,12853466,193.49,117.02,Operation
Alexandria,2011-2012,15867088,110.60,66.90,Operation
Bedford,2011-2012,-,-,-,Operation
Bristol,2011-2012,2168830,121.98,73.78,Operation
Buena Vista,2011-2012,850889,123.66,74.80,Operation
Charlottesville,2011-2012,10429516,234.52,141.85,Operation
Chesapeake,2011-2012,43023018,190.45,115.20,Operation
Colonial Heights,2011-2012,4657382,265.29,160.46,Operation
Covington,2011-2012,1123224,184.38,111.52,Operation
Danville,2011-2012,7144853,164.89,99.73,Operation
Emporia,2011-2012,1258703,211.69,128.04,Operation
Fairfax,2011-2012,3635145,158.98,96.16,Operation
Falls Church,2011-2012,3806421,302.89,183.21,Operation
Franklin,2011-2012,1360280,156.71,94.79,Operation
Fredericksburg,2011-2012,4604371,180.68,109.28,Operation
Galax,2011-2012,1341616,188.30,113.89,Operation
Hampton,2011-2012,20403515,148.53,89.84,Operation
Harrisonburg,2011-2012,4680411,93.50,56.56,Operation
Hopewell,2011-2012,5692469,249.90,151.15,Operation
Lexington,2011-2012,510822,70.98,42.93,Operation
Lynchburg,2011-2012,9658605,126.34,76.42,Operation
Manassas,2011-2012,7360775,188.45,113.98,Operation
Manassas Park,2011-2012,2371012,163.07,98.63,Operation
Martinsville,2011-2012,2131619,153.33,92.74,Operation
Newport News,2011-2012,34001728,187.83,113.61,Operation
Norfolk,2011-2012,32938082,135.00,81.66,Operation
Norton,2011-2012,772144,188.37,113.94,Operation
Petersburg,2011-2012,4908288,148.97,90.11,Operation
Poquoson,2011-2012,1713424,139.99,84.67,Operation
Portsmouth,2011-2012,15119617,156.89,94.90,Operation
Radford,2011-2012,1305757,78.98,47.77,Operation
Richmond,2011-2012,29041436,140.82,85.17,Operation
Roanoke,2011-2012,13029130,134.04,81.07,Operation
Salem,2011-2012,2785108,111.54,67.47,Operation
Staunton,2011-2012,2141366,88.41,53.47,Operation
Suffolk,2011-2012,14720266,171.78,103.90,Operation
Virginia Beach,2011-2012,97527708,221.03,133.69,Operation
Waynesboro,2011-2012,3305095,156.65,94.75,Operation
Williamsburg,2011-2012,912210,63.99,38.70,Operation
Winchester,2011-2012,2359651,90.18,54.54,Operation
Accomack,2011-2012,4473131,134.19,83.16,Operation
Albemarle,2011-2012,13403358,133.00,82.42,Operation
Alleghany,2011-2012,3319114,205.14,127.13,Operation
Amelia,2011-2012,1406650,109.54,67.89,Operation
Amherst,2011-2012,5290934,162.82,100.91,Operation
Appomattox,2011-2012,2078388,138.37,85.75,Operation
Arlington,2011-2012,33466042,156.11,96.75,Operation
Augusta,2011-2012,9767631,132.37,82.03,Operation
Bath,2011-2012,1700559,354.50,219.70,Operation
Bedford,2011-2012,8339725,120.21,74.50,Operation
Bland,2011-2012,670205,99.32,61.55,Operation
Botetourt,2011-2012,5175871,154.97,96.04,Operation
Brunswick,2011-2012,2303584,132.39,82.05,Operation
Buchanan,2011-2012,4694757,195.57,121.20,Operation
Buckingham,2011-2012,1997911,116.54,72.23,Operation
Campbell,2011-2012,8351732,152.52,94.52,Operation
Caroline,2011-2012,3115006,108.06,66.97,Operation
Carroll,2011-2012,3970708,133.48,82.72,Operation
Charles City,2011-2012,1265387,173.58,107.57,Operation
Charlotte,2011-2012,2531947,201.51,124.88,Operation
Chesterfield,2011-2012,51344947,160.63,99.55,Operation
Clarke,2011-2012,1823045,128.28,79.50,Operation
Craig,2011-2012,707779,135.05,83.69,Operation
Culpeper,2011-2012,7121901,151.07,93.62,Operation
Cumberland,2011-2012,1104001,109.31,67.74,Operation
Dickenson,2011-2012,2603510,165.18,102.37,Operation
Dinwiddie,2011-2012,5332480,190.32,117.95,Operation
Essex,2011-2012,1255147,111.20,68.92,Operation
Fairfax,2011-2012,206377884,188.30,116.70,Operation
Fauquier,2011-2012,11136251,169.30,104.92,Operation
Floyd,2011-2012,1987102,128.33,79.53,Operation
Fluvanna,2011-2012,3409321,131.18,81.30,Operation
Franklin,2011-2012,6968608,123.78,76.71,Operation
Frederick,2011-2012,11617617,146.77,90.96,Operation
Giles,2011-2012,2292315,132.66,82.22,Operation
Gloucester,2011-2012,5693046,153.92,95.39,Operation
Goochland,2011-2012,2313913,106.37,65.92,Operation
Grayson,2011-2012,2213855,143.11,88.69,Operation
Greene,2011-2012,2240206,117.65,72.91,Operation
Greensville,2011-2012,1227869,101.22,62.73,Operation
Halifax,2011-2012,5798906,160.26,99.32,Operation
Hanover,2011-2012,15754609,156.44,96.96,Operation
Henrico,2011-2012,44088119,141.88,87.93,Operation
Henry,2011-2012,6238786,115.82,71.78,Operation
Highland,2011-2012,341045,148.60,92.10,Operation
Isle of Wight,2011-2012,6195667,174.74,108.29,Operation
James City,2011-2012,9577786,139.06,86.18,Operation
King and Queen,2011-2012,917716,130.19,80.69,Operation
King George,2011-2012,3699854,158.57,98.27,Operation
King William,2011-2012,1820278,112.65,69.81,Operation
Lancaster,2011-2012,1517706,132.40,82.05,Operation
Lee,2011-2012,3507612,136.61,84.66,Operation
Loudoun,2011-2012,70776805,218.22,135.24,Operation
Louisa,2011-2012,3867329,115.59,71.64,Operation
Lunenburg,2011-2012,1444636,111.41,69.04,Operation
Madison,2011-2012,1924581,143.37,88.85,Operation
Mathews,2011-2012,1227743,137.38,85.14,Operation
Mecklenburg,2011-2012,2829458,85.91,53.24,Operation
Middlesex,2011-2012,1152866,104.19,64.57,Operation
Montgomery,2011-2012,13005423,136.90,84.85,Operation
Nelson,2011-2012,3212384,212.85,131.91,Operation
New Kent,2011-2012,2187401,116.18,72.00,Operation
Northampton,2011-2012,1895752,152.48,94.50,Operation
Northumberland,2011-2012,1629256,130.87,81.11,Operation
Nottoway,2011-2012,2638412,165.86,102.79,Operation
Orange,2011-2012,5618109,166.64,103.27,Operation
Page,2011-2012,3366764,139.38,86.38,Operation
Patrick,2011-2012,2388594,128.18,79.44,Operation
Pittsylvania,2011-2012,7355721,116.78,72.38,Operation
Powhatan,2011-2012,3960372,139.99,86.76,Operation
Prince Edward,2011-2012,1675059,71.22,44.14,Operation
Prince George,2011-2012,5426837,151.47,93.87,Operation
Prince William,2011-2012,78945000,190.44,118.03,Operation
Pulaski,2011-2012,5009287,144.63,89.63,Operation
Rappahannock,2011-2012,921460,124.35,77.07,Operation
Richmond,2011-2012,1130049,122.34,75.82,Operation
Roanoke,2011-2012,13661027,147.39,91.34,Operation
Rockbridge,2011-2012,3321247,149.91,92.91,Operation
Rockingham,2011-2012,11914921,154.14,95.53,Operation
Russell,2011-2012,4010904,138.24,85.67,Operation
Scott,2011-2012,3918760,168.38,104.35,Operation
Shenandoah,2011-2012,5148965,122.26,75.77,Operation
Smyth,2011-2012,4080718,127.11,78.78,Operation
Southampton,2011-2012,3486503,186.30,115.46,Operation
Spotsylvania,2011-2012,20493620,165.28,102.43,Operation
Stafford,2011-2012,20676404,157.75,97.77,Operation
Surry,2011-2012,2130914,305.81,189.53,Operation
Sussex,2011-2012,1815164,150.56,93.31,Operation
Tazewell,2011-2012,5264261,116.27,72.06,Operation
Warren,2011-2012,5737615,152.24,94.35,Operation
Washington,2011-2012,7053516,127.83,79.22,Operation
Westmoreland,2011-2012,1558337,89.25,55.31,Operation
Wise,2011-2012,5356602,130.57,80.92,Operation
Wythe,2011-2012,4157015,141.44,87.66,Operation
York,2011-2012,12718313,192.78,119.47,Operation
Alexandria,2010-2011,16540572,118.18,71.32,Operation
Bedford,2010-2011,-,-,-,Operation
Bristol,2010-2011,1978566,110.94,66.95,Operation
Buena Vista,2010-2011,1009393,151.79,91.61,Operation
Charlottesville,2010-2011,10663572,245.28,148.03,Operation
Chesapeake,2010-2011,41077318,184.86,111.57,Operation
Colonial Heights,2010-2011,3988708,229.09,138.26,Operation
Covington,2010-2011,1004408,168.50,101.69,Operation
Danville,2010-2011,9591317,222.77,134.45,Operation
Emporia,2010-2011,1061467,179.09,108.08,Operation
Fairfax,2010-2011,3428665,151.95,91.70,Operation
Falls Church,2010-2011,3441774,279.09,168.44,Operation
Franklin,2010-2011,1374509,160.16,96.66,Operation
Fredericksburg,2010-2011,3666301,150.96,91.11,Operation
Galax,2010-2011,1417714,201.32,121.50,Operation
Hampton,2010-2011,21604483,157.20,94.87,Operation
Harrisonburg,2010-2011,4986082,101.94,61.52,Operation
Hopewell,2010-2011,3995397,176.86,106.74,Operation
Lexington,2010-2011,405909,57.64,34.79,Operation
Lynchburg,2010-2011,9558119,126.48,76.34,Operation
Manassas,2010-2011,7175393,189.72,114.50,Operation
Manassas Park,2010-2011,1163841,81.54,49.21,Operation
Martinsville,2010-2011,2328111,168.45,101.66,Operation
Newport News,2010-2011,31329269,173.36,104.63,Operation
Norfolk,2010-2011,35225011,145.08,87.56,Operation
Norton,2010-2011,663950,167.75,101.24,Operation
Petersburg,2010-2011,5291784,163.23,98.51,Operation
Poquoson,2010-2011,1895751,156.03,94.17,Operation
Portsmouth,2010-2011,15072405,157.77,95.22,Operation
Radford,2010-2011,1327887,80.93,48.84,Operation
Richmond,2010-2011,30271944,148.24,89.46,Operation
Roanoke,2010-2011,13593867,140.10,84.55,Operation
Salem,2010-2011,2694993,108.66,65.58,Operation
Staunton,2010-2011,1916863,80.72,48.72,Operation
Suffolk,2010-2011,13339310,157.70,95.18,Operation
