Nelson,2012-2013,2177582,144.42,132.85,Transportation
New Kent,2012-2013,2717879,141.14,129.83,Transportation
Northampton,2012-2013,1813719,145.79,134.10,Transportation
Northumberland,2012-2013,1206410,96.78,89.02,Transportation
Nottoway,2012-2013,1307817,82.49,75.88,Transportation
Orange,2012-2013,4158162,122.30,112.50,Transportation
Page,2012-2013,2218313,91.61,84.27,Transportation
Patrick,2012-2013,1980680,105.97,97.48,Transportation
Pittsylvania,2012-2013,6716905,106.41,97.88,Transportation
Powhatan,2012-2013,3847308,135.50,124.64,Transportation
Prince Edward,2012-2013,1575426,67.38,61.98,Transportation
Prince George,2012-2013,4139869,115.27,106.03,Transportation
Prince William,2012-2013,56494000,134.14,123.39,Transportation
Pulaski,2012-2013,2255275,65.18,59.96,Transportation
Rappahannock,2012-2013,990339,132.81,122.16,Transportation
Richmond,2012-2013,759792,81.55,75.01,Transportation
Roanoke,2012-2013,6424269,68.89,63.37,Transportation
Rockbridge,2012-2013,2014463,91.19,83.89,Transportation
Rockingham,2012-2013,9059062,116.81,107.45,Transportation
Russell,2012-2013,2611543,90.40,83.15,Transportation
Scott,2012-2013,1770326,75.51,69.46,Transportation
Shenandoah,2012-2013,4330380,101.15,93.04,Transportation
Smyth,2012-2013,2663036,82.93,76.28,Transportation
Southampton,2012-2013,2876447,154.00,141.66,Transportation
Spotsylvania,2012-2013,18303681,146.99,135.21,Transportation
Stafford,2012-2013,13419206,101.11,93.01,Transportation
Surry,2012-2013,1016822,146.79,135.03,Transportation
Sussex,2012-2013,2000005,164.76,151.56,Transportation
Tazewell,2012-2013,3447651,77.14,70.96,Transportation
Warren,2012-2013,2268999,59.59,54.81,Transportation
Washington,2012-2013,5220110,94.09,86.55,Transportation
Westmoreland,2012-2013,2151298,121.52,111.78,Transportation
Wise,2012-2013,3053843,74.86,68.86,Transportation
Wythe,2012-2013,2663114,90.08,82.86,Transportation
York,2012-2013,7000548,105.39,96.94,Transportation
Alexandria,2011-2012,9090412,63.36,84.65,Transportation
Bedford,2011-2012,532542,86.78,115.92,Transportation
Bristol,2011-2012,637858,35.88,47.93,Transportation
Buena Vista,2011-2012,349755,50.83,67.90,Transportation
Charlottesville,2011-2012,2509327,56.43,75.38,Transportation
Chesapeake,2011-2012,25739374,113.94,152.22,Transportation
Colonial Heights,2011-2012,778502,44.34,59.24,Transportation
Covington,2011-2012,320702,52.64,70.33,Transportation
Danville,2011-2012,2331655,53.81,71.88,Transportation
Emporia,2011-2012,779583,131.11,175.15,Transportation
Fairfax,2011-2012,2047909,89.56,119.65,Transportation
Falls Church,2011-2012,1063268,84.61,113.03,Transportation
Franklin,2011-2012,584581,67.35,89.97,Transportation
Fredericksburg,2011-2012,1400036,54.94,73.39,Transportation
Galax,2011-2012,410888,57.67,77.04,Transportation
Hampton,2011-2012,9811510,71.42,95.41,Transportation
Harrisonburg,2011-2012,2748056,54.90,73.34,Transportation
Hopewell,2011-2012,1050111,46.10,61.59,Transportation
Lexington,2011-2012,-,-,-,Transportation
Lynchburg,2011-2012,5308933,69.45,92.77,Transportation
Manassas,2011-2012,3609039,92.40,123.43,Transportation
Manassas Park,2011-2012,1828617,125.76,168.01,Transportation
Martinsville,2011-2012,898948,64.66,86.38,Transportation
Newport News,2011-2012,23322315,128.83,172.11,Transportation
Norfolk,2011-2012,10638617,43.60,58.25,Transportation
Norton,2011-2012,194445,47.44,63.37,Transportation
Petersburg,2011-2012,2303542,69.91,93.40,Transportation
Poquoson,2011-2012,819545,66.96,89.45,Transportation
Portsmouth,2011-2012,6991105,72.55,96.91,Transportation
Radford,2011-2012,364971,22.08,29.49,Transportation
Richmond,2011-2012,13603147,65.96,88.11,Transportation
Roanoke,2011-2012,9969823,102.56,137.02,Transportation
Salem,2011-2012,1405695,56.30,75.21,Transportation
Staunton,2011-2012,951134,39.27,52.46,Transportation
