Fredericksburg,2011-2012,27529306,1080.26,86.77
Galax,2011-2012,9374387,1315.70,105.68
Hampton,2011-2012,172228823,1253.74,100.71
Harrisonburg,2011-2012,45302561,905.02,72.70
Hopewell,2011-2012,33620788,1475.96,118.56
Lexington,2011-2012,4682696,650.65,52.26
Lynchburg,2011-2012,70291704,919.47,73.86
Manassas,2011-2012,66893802,1712.59,137.56
ManassasPark,2011-2012,17784656,1223.15,98.25
Martinsville,2011-2012,18023830,1296.49,104.14
NewportNews,2011-2012,234057828,1292.94,103.86
Norfolk,2011-2012,263542236,1080.16,86.76
Norton,2011-2012,6325598,1543.21,123.96
Petersburg,2011-2012,35679817,1082.91,86.98
Poquoson,2011-2012,15535295,1269.22,101.95
Portsmouth,2011-2012,119448956,1239.51,99.56
Radford,2011-2012,11065650,669.35,53.77
Richmond,2011-2012,254448433,1233.76,99.10
Roanoke,2011-2012,115279500,1185.93,95.26
Salem,2011-2012,32603728,1305.72,104.88
Staunton,2011-2012,24258726,1001.52,80.45
Suffolk,2011-2012,106647497,1244.54,99.97
VirginiaBeach,2011-2012,580055288,1314.58,105.59
Waynesboro,2011-2012,23357482,1107.04,88.92
Williamsburg,2011-2012,6490728,455.30,36.57
Winchester,2011-2012,38995339,1490.25,119.70
Accomack,2011-2012,36852152,1105.51,84.89
Albemarle,2011-2012,126382220,1254.04,96.29
Alleghany,2011-2012,21559410,1332.47,102.31
Amelia,2011-2012,11957565,931.20,71.50
Amherst,2011-2012,32376597,996.33,76.50
Appomattox,2011-2012,14100596,938.73,72.08
Arlington,2011-2012,319128055,1488.66,114.31
Augusta,2011-2012,74757362,1013.08,77.79
Bath,2011-2012,5913947,1232.84,94.66
Bedford,2011-2012,62065683,894.59,68.69
Bland,2011-2012,6346538,940.51,72.22
Botetourt,2011-2012,37472659,1121.97,86.15
Brunswick,2011-2012,16688364,959.10,73.65
Buchanan,2011-2012,26515667,1104.54,84.81
Buckingham,2011-2012,15828426,923.32,70.90
Campbell,2011-2012,55983668,1022.36,78.50
Caroline,2011-2012,28421966,985.98,75.71
Carroll,2011-2012,28907162,971.73,74.62
CharlesCity,2011-2012,7180538,984.98,75.63
Charlotte,2011-2012,13333267,1061.14,81.48
Chesterfield,2011-2012,381754860,1194.32,91.71
Clarke,2011-2012,14234790,1001.67,76.91
Craig,2011-2012,5021835,958.18,73.57
Culpeper,2011-2012,54729782,1160.91,89.14
Cumberland,2011-2012,10924979,1081.68,83.06
Dickenson,2011-2012,18423171,1168.83,89.75
Dinwiddie,2011-2012,29424849,1050.21,80.64
Essex,2011-2012,12082911,1070.52,82.20
Fairfax,2011-2012,1797549325,1640.07,125.93
Fauquier,2011-2012,96823295,1471.93,113.02
Floyd,2011-2012,12660429,817.65,62.78
Fluvanna,2011-2012,27980382,1076.62,82.67
Franklin,2011-2012,54244310,963.49,73.98
Frederick,2011-2012,104148417,1315.74,101.03
Giles,2011-2012,16780628,971.16,74.57
Gloucester,2011-2012,38788074,1048.69,80.52
Goochland,2011-2012,18041476,829.38,63.68
Grayson,2011-2012,15023085,971.11,74.57
Greene,2011-2012,22459541,1179.47,90.57
Greensville,2011-2012,3149702,259.64,19.94
Halifax,2011-2012,42022741,1161.36,89.18
Hanover,2011-2012,128739650,1278.40,98.16
Henrico,2011-2012,357512367,1150.51,88.34
Henry,2011-2012,54336626,1008.72,77.45
Highland,2011-2012,2973950,1295.84,99.50
IsleofWight,2011-2012,41672907,1175.31,90.25
JamesCity,2011-2012,83841960,1217.32,93.47
King&Queen,2011-2012,8087623,1147.34,88.10
KingGeorge,2011-2012,26548992,1137.83,87.37
KingWilliam,2011-2012,15834601,979.92,75.24
Lancaster,2011-2012,10741371,937.05,71.95
Lee,2011-2012,26621988,1036.84,79.61
Loudoun,2011-2012,613230734,1890.72,145.18
Louisa,2011-2012,35599066,1064.06,81.70
Lunenburg,2011-2012,12596087,971.40,74.59
Madison,2011-2012,13183080,982.05,75.41
Mathews,2011-2012,8033599,898.91,69.02
Mecklenburg,2011-2012,32213641,978.07,75.10
Middlesex,2011-2012,9181435,829.77,63.71
Montgomery,2011-2012,72293819,761.02,58.44
Nelson,2011-2012,15755760,1043.98,80.16
NewKent,2011-2012,18093856,961.06,73.80
Northampton,2011-2012,14928699,1200.73,92.20
Northumberland,2011-2012,11386721,914.67,70.23
Nottoway,2011-2012,15915724,1000.55,76.83
Orange,2011-2012,33906222,1005.67,77.22
Page,2011-2012,25562555,1058.27,81.26
Patrick,2011-2012,17295155,928.10,71.26
Pittsylvania,2011-2012,59131497,938.80,72.09
Powhatan,2011-2012,31251953,1104.70,84.82
PrinceEdward,2011-2012,19578022,832.47,63.92
PrinceGeorge,2011-2012,44281198,1235.94,94.90
PrinceWilliam,2011-2012,630763000,1521.63,116.84
Pulaski,2011-2012,33433480,965.31,74.12
Rappahannock,2011-2012,8567163,1156.16,88.78
Richmond,2011-2012,9532602,1032.00,79.24
Roanoke,2011-2012,99521515,1073.74,82.45
Rockbridge,2011-2012,21207710,957.24,73.50
Rockingham,2011-2012,89051994,1152.08,88.46
Russell,2011-2012,29964421,1032.76,79.30
Scott,2011-2012,25472249,1094.45,84.04
Shenandoah,2011-2012,44642925,1060.05,81.40
Smyth,2011-2012,35145335,1094.73,84.06
Southampton,2011-2012,20160815,1077.31,82.72
Spotsylvania,2011-2012,163956759,1322.26,101.53
Stafford,2011-2012,183855193,1402.76,107.71
Surry,2011-2012,11454239,1643.83,126.22
Sussex,2011-2012,12829105,1064.13,81.71
Tazewell,2011-2012,42159030,931.16,71.50
Warren,2011-2012,34110804,905.08,69.50
Washington,2011-2012,53258540,965.20,74.11
Westmoreland,2011-2012,12516723,716.88,55.05
Wise,2011-2012,48718663,1187.54,91.19
Wythe,2011-2012,29613184,1007.56,77.37
York,2011-2012,91250330,1383.15,106.21
Alexandria,2010-2011,169486579,1210.91,98.71
Bedford,2010-2011,5014990,806.01,65.70
Bristol,2010-2011,18500322,1037.30,84.56
BuenaVista,2010-2011,7935302,1193.28,97.27
Charlottesville,2010-2011,52059301,1197.45,97.61
Chesapeake,2010-2011,324918667,1462.22,119.19
ColonialHeights,2010-2011,26149934,1501.92,122.43
Covington,2010-2011,7709149,1293.26,105.42
Danville,2010-2011,53880394,1251.43,102.01
Emporia,2010-2011,6300085,1062.95,86.65
Fairfax,2010-2011,29680104,1315.32,107.22
FallsChurch,2010-2011,25387289,2058.65,167.81
Franklin,2010-2011,12147614,1415.48,115.38
Fredericksburg,2010-2011,25925293,1067.50,87.02
Galax,2010-2011,9332771,1325.30,108.03
Hampton,2010-2011,170959313,1243.92,101.40
Harrisonburg,2010-2011,43099523,881.13,71.82
Hopewell,2010-2011,32930883,1457.70,118.82
Lexington,2010-2011,4459178,633.23,51.62
Lynchburg,2010-2011,69456073,919.12,74.92
Manassas,2010-2011,63113929,1668.75,136.03
ManassasPark,2010-2011,23953119,1678.21,136.80
Martinsville,2010-2011,17560183,1270.54,103.57
NewportNews,2010-2011,231789073,1282.59,104.55
Norfolk,2010-2011,263502167,1085.25,88.46
Norton,2010-2011,6308627,1593.89,129.92
Petersburg,2010-2011,35867470,1106.34,90.18
Poquoson,2010-2011,15053951,1239.01,101.00
Portsmouth,2010-2011,119657238,1252.50,102.10
Radford,2010-2011,11366734,692.76,56.47
Richmond,2010-2011,230804647,1130.21,92.13
Roanoke,2010-2011,109497693,1128.47,91.99
Salem,2010-2011,30962316,1248.38,101.76
Staunton,2010-2011,22343713,940.95,76.70
Suffolk,2010-2011,105155615,1243.19,101.34
VirginiaBeach,2010-2011,566822932,1294.13,105.49
Waynesboro,2010-2011,22946933,1092.40,89.05
Williamsburg,2010-2011,6351333,451.47,36.80
Winchester,2010-2011,37802296,1442.67,117.60
Accomack,2010-2011,36754465,1108.26,86.86
Albemarle,2010-2011,120885750,1221.44,95.72
Alleghany,2010-2011,20418437,1256.52,98.47
Amelia,2010-2011,11356063,894.88,70.13
Amherst,2010-2011,31967190,988.07,77.44
Appomattox,2010-2011,14066468,939.46,73.63
Arlington,2010-2011,295198012,1421.77,111.42
Augusta,2010-2011,75866400,1028.70,80.62
Bath,2010-2011,5890396,1245.06,97.58
Bedford,2010-2011,59637297,868.39,68.06
Bland,2010-2011,6226454,912.43,71.51
Botetourt,2010-2011,36312357,1095.46,85.85
Brunswick,2010-2011,17665595,1013.28,79.41
Buchanan,2010-2011,24012377,996.45,78.09
Buckingham,2010-2011,15603780,910.05,71.32
Campbell,2010-2011,54662822,996.73,78.11
Caroline,2010-2011,26662427,934.05,73.20
Carroll,2010-2011,29259558,973.96,76.33
CharlesCity,2010-2011,7554229,1041.10,81.59
Charlotte,2010-2011,14248445,1132.09,88.72
Chesterfield,2010-2011,379886367,1201.27,94.14
Clarke,2010-2011,14386927,1025.15,80.34
Craig,2010-2011,5226375,1007.01,78.92
Culpeper,2010-2011,51250197,1097.69,86.03
Cumberland,2010-2011,10410992,1035.71,81.17
Dickenson,2010-2011,17915224,1126.53,88.29
Dinwiddie,2010-2011,27910922,996.78,78.12
Essex,2010-2011,11965259,1073.02,84.09
Fairfax,2010-2011,1699372935,1570.98,123.12
Fauquier,2010-2011,96682865,1482.80,116.21
Floyd,2010-2011,13846861,906.27,71.02
Fluvanna,2010-2011,27728554,1079.31,84.59
Franklin,2010-2011,54782406,975.49,76.45
Frederick,2010-2011,100866007,1288.12,100.95
Giles,2010-2011,15817381,915.04,71.71
Gloucester,2010-2011,40032497,1086.13,85.12
Goochland,2010-2011,17039086,784.60,61.49
Grayson,2010-2011,15948888,1026.77,80.47
Greene,2010-2011,22106549,1201.25,94.14
Greensville,2010-2011,2941646,240.27,18.83
Halifax,2010-2011,44618755,1231.17,96.49
Hanover,2010-2011,125011412,1251.83,98.11
Henrico,2010-2011,365882532,1192.05,93.42
Henry,2010-2011,51935428,959.09,75.16
Highland,,2871692,1237.26,96.96
IsleofWight,2010-2011,41815872,1185.59,92.92
JamesCity,2010-2011,84547782,1261.74,98.88
King&Queen,2010-2011,7364536,1060.41,83.10
KingGeorge,2010-2011,26896924,1140.47,89.38
KingWilliam,2010-2011,15904658,998.10,78.22
Lancaster,2010-2011,10973999,963.39,75.50
Lee,2010-2011,28008951,1094.66,85.79
Loudoun,2010-2011,572399408,1832.79,143.64
Louisa,2010-2011,35429803,1068.68,83.75
Lunenburg,2010-2011,12339787,955.54,74.89
Madison,2010-2011,12562343,943.97,73.98
Mathews,2010-2011,8135619,906.17,71.02
Mecklenburg,2010-2011,33308738,1017.78,79.76
Middlesex,2010-2011,9217654,841.10,65.92
Montgomery,2010-2011,65578237,694.74,54.45
Nelson,2010-2011,15318804,1019.89,79.93
NewKent,2010-2011,17771465,964.32,75.57
Northampton,2010-2011,13325017,1075.55,84.29
Northumberland,2010-2011,10962327,889.08,69.68
Nottoway,2010-2011,15867918,1000.94,78.44
Orange,2010-2011,31567885,942.86,73.89
Page,2010-2011,25221210,1049.05,82.21
Patrick,2010-2011,17259232,933.44,73.15
Pittsylvania,2010-2011,57427952,904.29,70.87
Powhatan,2010-2011,32352142,1153.54,90.40
PrinceEdward,2010-2011,20116083,860.84,67.46
PrinceGeorge,2010-2011,43511806,1217.97,95.45
PrinceWilliam,2010-2011,588786000,1464.63,114.78
Pulaski,2010-2011,31018210,889.49,69.71
Rappahannock,2010-2011,8167653,1107.78,86.82
Richmond,2010-2011,9235150,997.96,78.21
Roanoke,2010-2011,101388608,1097.56,86.02
Rockbridge,2010-2011,20587903,922.93,72.33
Rockingham,2010-2011,85507561,1120.47,87.81
Russell,2010-2011,29596771,1024.22,80.27
Scott,2010-2011,27120573,1170.15,91.71
Shenandoah,2010-2011,42963056,1023.10,80.18
Smyth,2010-2011,34015681,1056.13,82.77
Southampton,2010-2011,19650421,1058.18,82.93
Spotsylvania,2010-2011,165829026,1354.85,106.18
Stafford,2010-2011,195277650,1514.24,118.67
Surry,2010-2011,11532625,1633.98,128.06
Sussex,2010-2011,8998981,744.52,58.35
Tazewell,2010-2011,42620348,945.48,74.10
Warren,2010-2011,34405244,915.64,71.76
Washington,2010-2011,50769475,925.17,72.51
Westmoreland,2010-2011,11879276,680.60,53.34
Wise,2010-2011,48624881,1173.04,91.93
Wythe,2010-2011,28228194,965.56,75.67
York,2010-2011,89980599,1374.51,107.72
Alexandria,2009-2010,161182874,1137.19,89.72
Bedford,2009-2010,4763450,783.02,61.77
Bristol,2009-2010,19276686,1083.35,85.47
BuenaVista,2009-2010,8277831,1263.23,99.66
Charlottesville,2009-2010,47861795,1187.13,93.66
Chesapeake,2009-2010,326033803,1482.24,116.94
ColonialHeights,2009-2010,26703316,1513.95,119.44
Covington,2009-2010,7479312,1255.59,99.06
Danville,2009-2010,53876681,1191.12,93.97
Emporia,2009-2010,5892766,1005.41,79.32
Fairfax,2009-2010,28257929,1143.97,90.25
FallsChurch,2009-2010,26862694,2293.78,180.96
Franklin,2009-2010,12675516,1515.80,119.59
Fredericksburg,2009-2010,27207560,1188.02,93.73
Galax,2009-2010,9047291,1330.86,105.00
Hampton,2009-2010,185485252,1281.43,101.10
Harrisonburg,2009-2010,42861187,913.96,72.11
Hopewell,2009-2010,33749766,1446.88,114.15
Lexington,2009-2010,4622768,634.81,50.08
Lynchburg,2009-2010,71272460,984.82,77.70
Manassas,2009-2010,63476335,1752.84,138.29
ManassasPark,2009-2010,21700118,1547.09,122.05
Martinsville,2009-2010,15872960,1069.50,84.38
NewportNews,2009-2010,245285831,1343.36,105.98
Norfolk,2009-2010,283810053,1193.66,94.17
Norton,2009-2010,5854352,1444.09,113.93
Petersburg,2009-2010,37747658,1237.09,97.60
Poquoson,2009-2010,15688485,1320.47,104.18
Portsmouth,2009-2010,121022478,1233.37,97.30
Radford,2009-2010,11873161,784.13,61.86
Richmond,2009-2010,250179008,1262.88,99.63
Roanoke,2009-2010,111389282,1193.84,94.19
Salem,2009-2010,32797392,1303.39,102.83
Staunton,2009-2010,24043423,1024.28,80.81
Suffolk,2009-2010,108332919,1305.12,102.97
VirginiaBeach,2009-2010,566769841,1304.68,102.93
Waynesboro,2009-2010,24313250,1173.88,92.61
Williamsburg,2009-2010,6451417,475.35,37.50
Winchester,2009-2010,42163129,1598.14,126.08
Accomack,2009-2010,38219730,965.65,72.14
Albemarle,2009-2010,123097631,1292.40,96.55
Alleghany,2009-2010,21408855,1267.94,94.72
Amelia,2009-2010,12403136,943.38,70.48
Amherst,2009-2010,33494290,1019.95,76.20
Appomattox,2009-2010,14525281,991.55,74.08
Arlington,2009-2010,297860913,1404.75,104.94
Augusta,2009-2010,81474960,1129.81,84.40
Bath,2009-2010,6428197,1354.63,101.20
Bedford,2009-2010,65616754,981.46,73.32
Bland,2009-2010,6369429,894.40,66.82
Botetourt,2009-2010,36863810,1107.04,82.70
Brunswick,2009-2010,17023746,919.97,68.73
Buchanan,2009-2010,26274247,1068.41,79.82
Buckingham,2009-2010,16379303,974.14,72.77
Campbell,2009-2010,59152925,1111.12,83.01
Caroline,2009-2010,28476273,1008.18,75.32
Carroll,2009-2010,29733967,981.33,73.31
CharlesCity,2009-2010,8264448,1181.95,88.30
Charlotte,2009-2010,14249182,1124.44,84.00
Chesterfield,2009-2010,415416518,1350.54,100.89
Clarke,2009-2010,14523119,1003.58,74.97
Craig,2009-2010,5632850,1081.03,80.76
Culpeper,2009-2010,54514344,1137.18,84.95
Cumberland,2009-2010,12795443,1280.14,95.64
Dickenson,2009-2010,18924307,1148.40,85.79
Dinwiddie,2009-2010,31941677,1173.92,87.70
Essex,2009-2010,12384458,1125.57,84.09
Fairfax,2009-2010,1716144362,1655.75,123.70
Fauquier,2009-2010,96535221,1425.88,106.52
Floyd,2009-2010,14299012,927.40,69.28
Fluvanna,2009-2010,30520608,1145.16,85.55
Franklin,2009-2010,55734769,1042.74,77.90
Frederick,2009-2010,102921336,1366.07,102.05
Giles,2009-2010,17613724,1057.98,79.04
Gloucester,2009-2010,43001231,1173.39,87.66
Goochland,2009-2010,21004442,979.65,73.19
Grayson,2009-2010,15676506,965.11,72.10
Greene,2009-2010,22623494,1249.06,93.31
Greensville,2009-2010,2610249,209.65,15.66
Halifax,2009-2010,44836733,1242.64,92.83
Hanover,2009-2010,133345131,1352.05,101.01
Henrico,2009-2010,376432898,1269.63,94.85
Henry,2009-2010,54199738,1007.52,75.27
Highland,2009-2010,2832984,1246.63,93.13
IsleofWight,2009-2010,40296090,1152.09,86.07
JamesCity,2009-2010,85611419,1344.07,100.41
King&Queen,2009-2010,7135319,1068.92,79.85
KingGeorge,2009-2010,25569453,1070.25,79.95
KingWilliam,2009-2010,16164457,998.78,74.62
Lancaster,2009-2010,11033848,935.84,69.91
Lee,2009-2010,30230496,1181.11,88.24
Loudoun,2009-2010,569720013,1911.09,142.77
Louisa,2009-2010,35795655,1087.16,81.22
Lunenburg,2009-2010,12665561,954.62,71.32
Madison,2009-2010,12813920,918.54,68.62
Mathews,2009-2010,9070198,954.63,71.32
Mecklenburg,2009-2010,35602920,1102.13,82.34
Middlesex,2009-2010,8059710,774.11,57.83
Montgomery,2009-2010,73529472,804.52,60.10
Nelson,2009-2010,15563415,1002.89,74.92
NewKent,2009-2010,17927879,1003.95,75.00
Northampton,2009-2010,14176968,1059.54,79.15
Northumberland,2009-2010,11323757,844.96,63.12
Nottoway,2009-2010,16464513,1035.95,77.39
Orange,2009-2010,34938902,1031.11,77.03
Page,2009-2010,28274559,1169.59,87.38
Patrick,2009-2010,17906735,919.76,68.71
Pittsylvania,2009-2010,60609373,966.45,72.20
Powhatan,2009-2010,33074887,1176.81,87.91
