Scott,2012-2013,1377609,58.76,78.64
Shenandoah,2012-2013,2185402,51.05,68.32
Smyth,2012-2013,1572654,48.97,65.55
Southampton,2012-2013,1545796,82.76,110.76
Spotsylvania,2012-2013,9021686,72.45,96.96
Stafford,2012-2013,10422301,78.53,105.10
Surry,2012-2013,835210,120.57,161.37
Sussex,2012-2013,896190,73.83,98.81
Tazewell,2012-2013,1927825,43.13,57.73
Warren,2012-2013,1947467,51.15,68.45
Washington,2012-2013,2795368,50.39,67.44
Westmoreland,2012-2013,1253539,70.81,94.77
Wise,2012-2013,2568036,62.95,84.25
Wythe,2012-2013,1069805,36.19,48.43
York,2012-2013,7098224,106.86,143.01
Alexandria,2011-2012,18584977,129.54,160.28
Bedford,2011-2012,588576,95.91,118.66
Bristol,2011-2012,1275463,71.74,88.76
BuenaVista,2011-2012,402551,58.50,72.38
Charlottesville,2011-2012,4913675,110.49,136.71
Chesapeake,2011-2012,14934803,66.11,81.80
ColonialHeights,2011-2012,1638671,93.34,115.49
Covington,2011-2012,609895,100.11,123.87
Danville,2011-2012,4620243,106.62,131.92
Emporia,2011-2012,530907,89.29,110.47
Fairfax,2011-2012,2170535,94.92,117.45
FallsChurch,2011-2012,3130814,249.13,308.24
Franklin,2011-2012,840580,96.84,119.82
Fredericksburg,2011-2012,2265113,88.88,109.97
Galax,2011-2012,593157,83.25,103.00
Hampton,2011-2012,20313777,147.87,182.96
Harrisonburg,2011-2012,3767164,75.26,93.11
Hopewell,2011-2012,2081746,91.39,113.07
Lexington,2011-2012,342821,47.63,58.94
Lynchburg,2011-2012,4578897,59.90,74.11
Manassas,2011-2012,4607800,117.97,145.96
ManassasPark,2011-2012,4010847,275.85,341.30
Martinsville,2011-2012,1366874,98.32,121.65
NewportNews,2011-2012,15934147,88.02,108.91
Norfolk,2011-2012,11979696,49.10,60.75
Norton,2011-2012,587251,143.27,177.26
Petersburg,2011-2012,2783705,84.49,104.53
Poquoson,2011-2012,1384041,113.08,139.90
Portsmouth,2011-2012,7641706,79.30,98.11
Radford,2011-2012,965448,58.40,72.26
Richmond,2011-2012,15179824,73.60,91.07
Roanoke,2011-2012,11255775,115.79,143.27
Salem,2011-2012,2405032,96.32,119.17
